FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT
F1-1,PCN3508,O K PRECISION THIRTY FIVE ZERO EIGHT ROGER MAINTAIN TWO THOUSAND PRESENT     HEADING,2191.73,2194.65,L02F1-0370,
PCN3508,F1-1,THIRTY FIVE ZERO EIGHT TWO THOUSAND PRESENT HEADING,2194.82,2197.02,L02F1-0371,
F1-1,AWE826,CACTUS EIGHT TWENTY SIX DESCEND AND MAINTAIN FOUR THOUSAND,2202.28,2204.51,L02F1-0372,
F1-1,AWE826,CACTUS EIGHT TWENTY SIX BOSTON,2206.69,2208.12,L02F1-0373,
F1-2,PCN3508,PRECISION THIRTY FIVE ZERO EIGHT TURN RIGHT HEADING ONE TWO ZERO,2236.32,2238.77,L02F1-0374,
PCN3508,F1-2,O K TURN TO ONE TWO ZERO PRECISION THIRTY FIVE ZERO EIGHT,2238.83,2241.81,L02F1-0375,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX BOSTON,2241.79,2243.37,L02F1-0376,
AWE826,F1-2,SIR EIGHT TWENTY SIX SIX THOUSAND,2243.78,2245.53,L02F1-0377,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX FLY HEADING ONE ZERO ZERO DESCEND AND MAINTAIN     THREE THOUSAND,2245.49,2248.51,L02F1-0378,
AWE826,F1-2,ONE ZERO ZERO DOWN TO THREE THOUSAND CACTUS EIGHT TWENTY SIX,2248.91,2251.57,L02F1-0379,
F1-2,COA380,CONTINENTAL THREE EIGHTY REDUCE SPEED TO TWO ONE ZERO,2252.61,2254.64,L02F1-0380,
COA380,F1-2,CONTINENTAL THREE EIGHTY TWO TEN,2254.69,2256.36,L02F1-0381,
F1-2,SKM61,SKY MASTER SIXTY ONE TURN RIGHT HEADING TWO ZERO ZERO DESCEND V F R TO     THREE THOUSAND THREE THOUSAND,2269.05,2273.75,L02F1-0382,
SKM61,F1-2,OUT OF FOUR FOR THREE THOUSAND AND COMING RIGHT TO TWO ZERO ZERO SKY     MASTER SIXTY ONE,2274.52,2278.12,L02F1-0383,
USA1615,F1-2,APPROACH GOOD AFTERNOON U S AIR SIXTEEN FIFTEEN OUT OF EIGHT THOUSAND FOR     FIVE THOUSAND,2284.38,2288.74,L02F1-0384,
F1-2,COA1072,CONTINENTAL TEN SEVENTY TWO CONTACT THE TOWER NINETEEN ONE,2288.76,2290.91,L02F1-0385,
COA1072,F1-2,CONTINENTAL TEN SEVENTY TWO,2291.36,2292.7,L02F1-0386,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX TURN RIGHT HEADING ONE NINER ZERO,2293.1,2295.23,L02F1-0387,
AWE826,F1-2,ONE NINER ZERO CACTUS EIGHT TWENTY SIX,2295.88,2297.86,L02F1-0388,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN BOSTON (UNINTELLIGIBLE,2297.9,2300.46,L02F1-0389,
USA1615,F1-2,HEADING ZERO THREE ZERO U S AIR SIXTEEN FIFTEEN,2300.92,2303.31,L02F1-0390,
F1-2,PCN3508,PRECISION THIRTY FIVE OH EIGHT TURN RIGHT HEADING TWO ONE ZERO,2303.42,2305.52,L02F1-0391,
PCN3508,F1-2,(UNINTELLIGIBLE,2305.73,2308.08,L02F1-0392,
F1-2,CFL2112,CARE TWENTY ONE TWELVE CONTACT THE TOWER NINETEEN ONE,2308.12,2309.93,L02F1-0393,
CFL2112,F1-2,NINETEEN ONE TWENTY ONE TWELVE,2310.11,2311.48,L02F1-0394,
F1-2,COA380,CONTINENTAL THREE EIGHTY TURN LEFT HEADING THREE FOUR ZERO DESCEND AND     MAINTAIN FOUR THOUSAND,2311.55,2314.7,L02F1-0395,
COA380,F1-2,THREE FOUR ZERO DOWN TO FOUR THOUSAND CONTINENTAL THREE EIGHTY,2314.76,2317.47,L02F1-0396,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX REDUCE SPEED TO ONE SEVEN ZERO THEN MAINTAIN TWO     THOUSAND,2317.64,2320.72,L02F1-0397,
AWE826,F1-2,SLOW BACK ONE SEVEN ZERO THEN TWO THOUSAND CACTUS EIGHT TWENTY SIX,2321.27,2324.61,L02F1-0398,
F1-2,PCN3508,PRECISION THIRTY FIVE OH EIGHT VERIFY TWO TWO LEFT IN SIGHT,2325.34,2327.48,L02F1-0399,
F1-2,PCN3508,PRECISION THIRTY FIVE OH EIGHT VERIFY TWO TWO LEFT IN SIGHT,2330.44,2332.96,L02F1-0400,
PCN3508,F1-2,PRECISION THIRTY FIVE ZERO EIGHT TWO TWO LEFT IN SIGHT,2333.26,2335.38,L02F1-0401,
F1-2,PCN3508,PRECISION THIRTY FIVE OH EIGHT PROCEED INBOUND TWO TWO LEFT HOLD SHORT OF     TWO SEVEN,2335.35,2337.89,L02F1-0402,
PCN3508,F1-2,TWO TWO LEFT HOLD SHORT OF SEVEN PRECISION THIRTY FIVE ZERO EIGHT,2338.15,2340.66,L02F1-0403,
F1-2,COA380,CONTINENTAL THREE EIGHTY TURN LEFT HEADING TWO NINER ZERO INTERCEPT THE     LOCALIZER TWO SEVEN,2340.75,2343.6,L02F1-0404,
COA380,F1-2,TWO NINE ZERO TO INTERCEPT THE LOCALIZER CONTINENTAL THREE EIGHTY,2343.72,2346.42,L02F1-0405,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX TURN RIGHT HEADING TWO FIVE ZERO INTERCEPT THE     LOCALIZER TWO SEVEN,2346.43,2349.68,L02F1-0406,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN REDUCE SPEED TO TWO ONE ZERO THEN MAINTAIN FOUR     THOUSAND,2353.95,2356.24,L02F1-0408,
USA1615,F1-2,(UNINTELLIGIBLE,2356.82,2359.55,L02F1-0409,
F1-2,PCN3508,PRECISION THIRTY FIVE OH EIGHT CONTACT TOWER NINETEEN ONE,2359.55,2361.45,L02F1-0410,
PCN3508,F1-2,NINETEEN ONE PRECISION THIRTY FIVE ZERO EIGHT,2361.49,2363.16,L02F1-0411,
F1-2,SKM61,SKY MASTER SIXTY ONE DESCEND V F R YOUR DISCRETION ADVISE TWO TWO LEFT IN     SIGHT,2363.09,2366.02,L02F1-0412,
SKM61,F1-2,AND SKY MASTER SIXTY ONE HAS VISUAL ON TWO TWO LEFT,2366.69,2369.77,L02F1-0413,
F1-2,SKM61,SKY MASTER SIXTY ONE PROCEED INBOUND TWO TWO LEFT HOLD SHORT OF TWO SEVEN,2369.7,2372.28,L02F1-0414,
SKM61,F1-2,SKY MASTER SIXTY ONE INBOUND WE (QUOTE LL,2372.91,2376.48,L02F1-0415,
DAL1776,F1-2,DELTA SEVENTEEN SEVENTY SIX SIX THOUSAND,2377.63,2379.74,L02F1-0416,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN TURN LEFT HEADING THREE FOUR ZERO,2381.18,2383.74,L02F1-0417,
USA1615,F1-2,THREE FOUR ZERO SIXTEEN FIFTEEN,2383.84,2385.63,L02F1-0418,
F1-2,COA380,CONTINENTAL THREE EIGHTY REDUCE SPEED TO ONE SEVEN ZERO,2385.66,2387.63,L02F1-0419,
COA380,F1-2,CONTINENTAL THREE EIGHTY,2387.88,2388.84,L02F1-0420,
F1-2,SKM61,SKY MASTER SIXTY ONE CONTACT THE TOWER ONE ONE NINER POINT ONE,2389.01,2391.45,L02F1-0421,
SKM61,F1-2,ONE ONE NINE POINT ONE SEE YOU,2391.88,2393.28,L02F1-0422,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX FLY HEADING ONE ZERO ZERO MAINTAIN FOUR     THOUSAND,2393.37,2396.51,L02F1-0423,
DAL1776,F1-2,HEADING ONE ZERO ZERO DOWN TO FOUR THOUSAND DELTA SEVENTEEN SEVENTY SIX,2396.66,2399.52,L02F1-0424,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX THREE FROM AH RIPIT INTERCEPT THE LOCALIZER AT OR     ABOVE TWO THOUSAND CLEARED I L S D M E TWO SEVEN APPROACH SPEED ONE SEVEN     ZERO TO RIPIT,2399.47,2405.63,L02F1-0425,
AWE826,F1-2,YES SIR WE (QUOTE RE,2406.05,2409.54,L02F1-0426,
F1-2,COA380,CONTINENTAL THREE EIGHTY TWO FROM THE I LONER CROSS LONER AT THREE OR     ABOVE CLEARED I L S D M E TWO SEVEN APPROACH MAINTAIN ONE SEVEN ZERO KNOTS     TO LONER CORRECTION ONE SEVEN ZERO KNOTS UNTIL RIPIT,2409.52,2416.92,L02F1-0427,
COA380,F1-2,ONE SEVENTY TIL RIPIT THREE UNTIL ESTABLISHED CLEARED I L S TWO SEVEN     CONTINENTAL THREE EIGHTY,2416.93,2421.81,L02F1-0428,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX TRAFFIC LANDING TWO TWO LEFT WILL HOLD SHORT OF     YOUR RUNWAY,2421.86,2424.77,L02F1-0429,
AWE826,F1-2,ALL RIGHT THANK YOU CACTUS EIGHT TWENTY SIX ROGER,2424.76,2426.93,L02F1-0430,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN REDUCE SPEED TO ONE SEVEN ZERO THEN DESCEND AND     MAINTAIN THREE THOUSAND,2428.4,2431.75,L02F1-0431,
USA1615,F1-2,ONE SEVEN ZERO THEN DOWN TO THREE U S AIR SIXTEEN FIFTEEN,2432.28,2435.8,L02F1-0432,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX MAINTAIN FOUR THOUSAND THEN REDUCE SPEED TO     ONE SEVEN ZERO,2435.84,2439.51,L02F1-0433,
DAL1776,F1-2,FOUR THOUSAND AND THEN SLOW TO ONE SEVENTY DELTA SEVENTEEN SEVENTY SIX,2439.81,2442.72,L02F1-0434,
F1-2,AWE826,CACTUS EIGHT TWENTY SIX CONTACT THE TOWER ONE ONE NINER POINT ONE,2443.62,2446.23,L02F1-0435,
AWE826,F1-2,CACTUS EIGHT TWENTY SIX ROGER,2446.88,2448.38,L02F1-0436,
F1-2,COA380,CONTINENTAL THREE EIGHTY TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL BE     HOLDING SHORT OF YOUR RUNWAY,2448.47,2451.84,L02F1-0437,
COA380,F1-2,CONTINENTAL THREE EIGHTY,2452.28,2453.32,L02F1-0438,
BTA3854,F1-2,APPROACH JET LINK THIRTY EIGHT FIFTY FOUR IS TWO POINT FIVE HEADING THREE     SIX ZERO,2455.97,2459.33,L02F1-0439,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR BOSTON APPROACH ROGER,2459.34,2461.33,L02F1-0440,
UAL174,F1-2,UNITED ONE SEVENTY FOUR HEAVY (QUOTE S,2464.2,2466.28,L02F1-0441,
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY BOSTON APPROACH FLY HEADING ONE ZERO ZERO,2466.28,2468.88,L02F1-0442,
UAL174,F1-2,ONE ZERO ZERO UNITED ONE SEVENTY FOUR HEAVY,2469.09,2470.94,L02F1-0443,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX TURN RIGHT HEADING ONE NINER ZERO,2470.95,2473.44,L02F1-0444,
DAL1776,F1-2,RIGHT ONE NINE ZERO DELTA SEVENTEEN SEVENTY SIX,2473.47,2475.55,L02F1-0445,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN TURN LEFT HEADING TWO NINER ZERO THREE FROM LONER     CROSS LONER AT THREE OR ABOVE CLEARED I L S D M E RUNWAY TWO SEVEN APPROACH     MAINTAIN ONE SEVEN ZERO KNOTS UNTIL RIPIT,2475.69,2483.15,L02F1-0446,
USA1615,F1-2,CLEARED APPROACH MAINTAIN ONE SEVENTY TO RIPIT U S AIR SIXTEEN FIFTEEN,2483.59,2486.97,L02F1-0447,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL BE     HOLDING SHORT OF YOUR RUNWAY,2490.44,2494.38,L02F1-0448,
USA1615,F1-2,U S AIR SIXTEEN FIFTEEN THANKS,2494.48,2496.12,L02F1-0449,
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY DESCEND AND MAINTAIN FOUR THOUSAND THEN     REDUCE SPEED TO ONE SEVEN ZERO,2518.23,2522.1,L02F1-0450,
UAL174,F1-2,DOWN TO FOUR AND ONE SEVENTY UNITED ONE SEVENTY FOUR HEAVY,2522.32,2524.87,L02F1-0451,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR TURN LEFT HEADING THREE FOUR ZERO,2538.01,2540.46,L02F1-0452,
BTA3854,F1-2,THREE FOUR ZERO JET LINK THIRTY EIGHT FIFTY FOUR,2540.8,2542.78,L02F1-0453,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX TURN RIGHT HEADING TWO FIVE ZERO THREE AND A     HALF MILES FROM LONER CROSS LONER AT THREE OR ABOVE CLEARED I L S D M E     RUNWAY TWO SEVEN APPROACH SPEED ONE SEVEN ZERO TO RIPIT,2542.8,2550.55,L02F1-0454,
DAL1776,F1-2,CLEARED I L S D M E TWO SEVEN APPROACH DELTA SEVENTEEN SEVENTY SIX,2550.77,2554.03,L02F1-0455,
F1-2,COA380,CONTINENTAL THREE EIGHTY CONTACT THE TOWER ONE ONE NINER POINT ONE SO     LONG,2554.06,2556.82,L02F1-0456,
COA380,F1-2,THREE EIGHTY SO LONG NOW,2556.83,2558.09,L02F1-0457,
DAL110,F1-2,BOSTON APPROACH AH DELTA ONE TEN HEAVY WITH YOU WE (QUOTE RE,2559.33,2564.86,L02F1-0458,
F1-2,DAL110,DELTA ONE TEN HEAVY BOSTON APPROACH ROGER AT FIVE THOUSAND REDUCE SPEED     TO TWO ONE ZERO,2565.77,2568.85,L02F1-0459,
DAL110,F1-2,DELTA ONE TEN HEAVY SLOW TO TWO TEN WHEN WE GET TO FIVE,2569.23,2571.96,L02F1-0460,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR TURN LEFT HEADING THREE ZERO ZERO,2603.3,2606.44,L02F1-0461,
BTA3854,F1-2,O K LEFT TO THREE HUNDRED THIRTY EIGHT FIFTY FOUR,2606.34,2608.59,L02F1-0462,
F1-2,DAL110,DELTA ONE TEN HEAVY CAUTION WAKE TURBULENCE SEQUENCED BEHIND A HEAVY D C     TEN OR HEAVY SEVEN SIXTY SEVEN RATHER,2609.21,2613.9,L02F1-0463,
DAL110,F1-2,DELTA ONE TEN HEAVY,2615.15,2616.07,L02F1-0464,
F1-2,USA1615,U S AIR SIXTEEN FIFTEEN CONTACT TOWER ONE ONE NINER POINT ONE SO LONG,2634.77,2637.86,L02F1-0465,
USA1615,F1-2,THANK YOU SIR,2638.05,2638.87,L02F1-0466,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR TRAFFIC TWELVE O (QUOTE CLOCK,2639.93,2643.58,L02F1-0467,
BTA3854,F1-2,HE (QUOTE S,2644.1,2645.83,L02F1-0468,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR MAINTAIN THE ONE SEVEN ZERO KNOTS TIL     FIVE D M E FOLLOW THE BOEING SEVEN FIFTY SEVEN CAUTION WAKE TURBULENCE     PROCEED INBOUND TWO SEVEN,2645.87,2651.31,L02F1-0469,
BTA3854,F1-2,O K AH ONE FIFTY TO FIVE D M E OR ONE SEVENTY EXCUSE ME TO THE FIVE D M E     IN,2651.94,2656.13,L02F1-0470,
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY TURN RIGHT HEADING TWO FOUR ZERO,2656.38,2659.02,L02F1-0471,
UAL174,F1-2,TWO FOUR ZERO UNITED ONE SEVENTY FOUR HEAVY,2659.37,2661.11,L02F1-0472,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL BE     HOLDING SHORT OF YOUR RUNWAY,2663.45,2667.28,L02F1-0473,
DAL1776,F1-2,DELTA SEVENTEEN SEVENTY SIX ROGER,2667.61,2669.33,L02F1-0474,
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY CONTINUE RIGHT HEADING TWO SIX ZERO     INTERCEPT TWO SEVEN LOCALIZER,2672.16,2675.76,L02F1-0475,
UAL174,F1-2,TWO SIXTY INTERCEPT THE LOCALIZER UNITED ONE SEVENTY FOUR HEAVY,2676.1,2678.26,L02F1-0476,
F1-2,DAL110,DELTA ONE TEN HEAVY REDUCE SPEED TO ONE SEVEN ZERO,2678.31,2680.58,L02F1-0477,
DAL110,F1-2,DELTA ONE TEN HEAVY SLOW TO ONE SEVENTY,2680.67,2682.92,L02F1-0478,
F1-2,DAL110,DELTA ONE TEN HEAVY TURN LEFT HEADING THREE ZERO ZERO INTERCEPT THE     LOCALIZER,2713.83,2716.82,L02F1-0479,
DAL110,F1-2,DELTA ONE TEN HEAVY THREE ZERO ZERO AND INTERCEPT,2716.92,2719.77,L02F1-0480,
F1-2,UAL174,AIR WEST SEVENTY FOUR HEAVY (QUOTE S,2734.08,2740.4,L02F1-0481,CONTROLLER MISSTATES AIRCRAFT ID
UAL174,F1-2,K ONE SEVENTY TO RIPIT LONER AT OR ABOVE THREE CLEARED THE APPROACH     UNITED ONE SEVENTY FOUR HEAVY,2740.91,2744.67,L02F1-0482,
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX CONTACT TOWER ONE ONE NINER POINT ONE,2751.1,2753.79,L02F1-0483,
DAL1776,F1-2,DELTA SEVENTEEN SEVENTY SIX SO LONG,2754.16,2755.8,L02F1-0484,
F1-2,DAL110,DELTA ONE TEN HEAVY DESCEND AND MAINTAIN FOUR THOUSAND,2759.27,2761.37,L02F1-0485,
DAL110,F1-2,DELTA ONE TEN HEAVY DOWN TO FOUR,2761.5,2763.13,L02F1-0486,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR REDUCE SPEED TO ONE FIVE ZERO,2799.39,2801.58,L02F1-0487,
BTA3854,F1-2,O K BACK TO ONE FIFTY THIRTY EIGHT FIFTY FOUR,2801.81,2803.77,L02F1-0488,
F1-2,DAL110,DELTA ONE TEN HEAVY FIVE AND A HALF FROM LONER CROSS LONER AT THREE OR     ABOVE CLEARED I L S D M E RUNWAY TWO SEVEN APPROACH,2811.06,2816.1,L02F1-0489,
DAL110,F1-2,DELTA ONE TEN HEAVY ROGER CLEARED I L S D M E TWO SEVEN,2816.31,2819.82,L02F1-0490,
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL     HOLD SHORT OF YOUR RUNWAY CONTACT THE TOWER NOW ONE ONE NINER POINT ONE SO     LONG,2820.57,2825.91,L02F1-0491,
BTA3854,F1-2,NINETEEN ONE HAVE A GOOD DAY SIR,2825.92,2827.21,L02F1-0492,
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL BE     HOLDING SHORT OF YOUR RUNWAY,2872.04,2876.07,L02F1-0493,
UAL174,F1-2,UNITED ONE SEVENTY FOUR HEAVY,2876.37,2877.58,L02F1-0494,
F1-2,DAL110,DELTA ONE TEN HEAVY TRAFFIC LANDING RUNWAY LEFT WILL BE HOLDING SHORT OF     YOUR RUNWAY,2879.55,2882.84,L02F1-0495,
DAL110,F1-2,ONE TEN HEAVY THANKS,2883.46,2884.76,L02F1-0496,
F1-2,ALL,INFORMATION LIMA (QUOTE S,2887.61,2889.94,L02F1-0497,TRANSMISSION WAS TO ALL AIRCRAFT ON FREQUENCY
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY CONTACT TOWER ONE ONE NINER POINT ONE SO     LONG,2935.2,2938.21,L02F1-0498,
UAL174,F1-2,UNITED ONE SEVENTY FOUR HEAVY SO LONG,2938.26,2939.82,L02F1-0499,
F1-2,DAL110,DELTA ONE TEN HEAVY IS FOUR AND A QUARTER MILES BEHIND THE HEAVY THERE     (QUOTE S,2947.33,2951.94,L02F1-0500,
DAL110,F1-2,ONE TEN HEAVY O K AH AND WE (QUOTE RE,2952.35,2956.16,L02F1-0501,
DAL110,F1-2,O K,2958.38,2958.97,L02F1-0503,
F1-2,DAL110,DELTA ONE TEN HEAVY CONTACT THE TOWER ONE ONE NINER POINT ONE SO LONG,2994.89,2997.71,L02F1-0504,
DAL110,F1-2,ONE TEN,2997.77,2998.45,L02F1-0505,
UAL92,F1-2,BOSTON APPROACH UNITED NINETY TWO HEAVY AT SIX THOUSAND,3037.46,3040.28,L02F1-0506,
F1-2,UAL92,UNITED NINETY TWO HEAVY BOSTON APPROACH ROGER FLY HEADING ONE ZERO ZERO,3040.95,3043.94,L02F1-0507,
UAL92,F1-2,ONE HUNDRED DEGREES UNITED NINETY TWO HEAVY,3043.93,3045.97,L02F1-0508,
F1-2,UAL92,UNITED NINETY TWO HEAVY DESCEND AND MAINTAIN THREE THOUSAND,3092.74,3095.14,L02F1-0509,
UAL92,F1-2,DOWN TO THREE THOUSAND UNITED NINETY TWO HEAVY,3095.15,3097.53,L02F1-0510,
UAL92,F1-2,WHAT NUMBER YOU PLANNING NINETY TWO TODAY FOR THE APPROACH,3099.97,3102.48,L02F1-0511,
F1-2,UAL92,AH UNITED NINETY TWO IS FOLLOWING TRAFFIC ON A TWO MILE FINAL,3102.77,3105.4,L02F1-0512,
UAL92,F1-2,ALL RIGHT,3105.88,3106.52,L02F1-0513,
LHA422,F1-2,APPROACH LUFTHANSA FOUR TWO TWO HEAVY GOOD AFTERNOON OUT OF EIGHT     THOUSAND DESCENDING SIX THOUSAND HEADING TWO FOUR ZERO,3125.04,3131.35,L02F1-0514,
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY BOSTON APPROACH FLY HEADING TWO SIX ZERO     DESCEND AND MAINTAIN FOUR THOUSAND,3131.41,3135.52,L02F1-0515,
LHA422,F1-2,DOWN FOUR THOUSAND HEADING TWO SIX ZERO LUFTHANSA FOUR TWO TWO,3136.18,3139.64,L02F1-0516,
F1-2,UAL92,UNITED NINETY TWO HEAVY DESCEND AND MAINTAIN TWO THOUSAND TURN RIGHT     HEADING TWO ZERO ZERO,3150.94,3154.47,L02F1-0517,
UAL92,F1-2,RIGHT TO HEAD TWO HUNDRED DEGREES DOWN TO TWO THOUSAND UNITED AH NINETY     TWO HEAVY,3154.92,3159.26,L02F1-0518,
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY INTERCEPT THE LOCALIZER,3159.6,3162.18,L02F1-0519,
LHA422,F1-2,INTERCEPTING LOCALIZER TWO SEVEN LUFTHANSA FOUR TWO TWO,3162.69,3165.93,L02F1-0520,
F1-2,UAL92,UNITED NINETY TWO HEAVY SPEED YOUR DISCRETION,3169.78,3171.69,L02F1-0521,
UAL92,F1-2,NINETY TWO HEAVY ROGER,3172.42,3173.45,L02F1-0522,
F1-2,UAL92,UNITED NINETY TWO HEAVY TURN RIGHT HEADING TWO SIX ZERO FOUR FROM RIPIT     INTERCEPT THE LOCALIZER AT OR ABOVE TWO THOUSAND CLEARED I L S D M E RUNWAY     TWO SEVEN APPROACH,3189.05,3195.94,L02F1-0523,
UAL92,F1-2,HEADING TWO SIX ZERO WE (QUOTE RE,3196.54,3201.1,L02F1-0524,
F1-2,UAL92,UNITED NINETY TWO HEAVY TRAFFIC WILL BE LANDING RUNWAY TWO TWO LEFT     HOLDING SHORT OF YOUR RUNWAY,3255.37,3259.23,L02F1-0525,
UAL92,F1-2,NINETY TWO HEAVY,3259.32,3260.63,L02F1-0526,
F1-2,UAL92,UNITED NINETY TWO HEAVY CONTACT THE TOWER ONE ONE NINER POINT ONE SO LONG,3261.05,3263.91,L02F1-0527,
UAL92,F1-2,NINETEEN ONE WE (QUOTE LL,3263.86,3264.99,L02F1-0528,
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY SIX MILES FROM LONER CROSS LONER AT OR ABOVE     THREE THOUSAND CLEARED I L S D M E RUNWAY TWO SEVEN APPROACH,3288.18,3294.05,L02F1-0529,
LHA422,F1-2,UNDERSTOOD CLEARED I L S D M E APPROACH TWO SEVEN LUFTHANSA FOUR TWO TWO,3294.95,3298.83,L02F1-0530,
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY TRAFFIC WILL BE LANDING RUNWAY TWO TWO LEFT     HOLDING SHORT OF YOUR RUNWAY,3403.16,3407.61,L02F1-0531,
LHA422,F1-2,UNDERSTOOD LUFTHANSA FOUR TWO TWO,3408.69,3410.41,L02F1-0532,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3412.97,3414.29,L02F1-0533,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3423.56,3424.91,L02F1-0534,
LHA422,F1-2,ONE ONE NINE ONE (UNINTELLIGIBLE,3437.83,3440.47,L02F1-0536,SOUNDS LIKE A GERMAN PHRASE
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3448.27,3449.74,L02F1-0537,
NWA182,F1-2,BOSTON APPROACH NORTHWEST ONE EIGHTY TWO SIX THOUSAND,3462.86,3465.97,L02F1-0538,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO TURN RIGHT HEADING ONE ONE ZERO DESCEND AND     MAINTAIN THREE THOUSAND,3465.93,3469.06,L02F1-0539,
NWA182,F1-2,RIGHT HEADING ONE ONE ZERO OUT OF SIX FOR THREE THOUSAND NORTHWEST ONE     EIGHTY TWO,3469.25,3472.78,L02F1-0540,
AAL94,F1-2,BOSTON APPROACH AMERICAN (QUOTE S,3484.62,3489.43,L02F1-0541,
F1-2,AAL94,SAY AGAIN PLEASE,3491.95,3492.87,L02F1-0542,
AAL94,F1-2,IT (QUOTE S,3495.24,3498.05,L02F1-0543,
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY BOSTON APPROACH FLY HEADING ONE ZERO ZERO,3498.2,3500.62,L02F1-0544,
AAL94,F1-2,HEADING ONE ZERO ZERO AMERICAN (QUOTE S,3501.16,3503.85,L02F1-0545,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO TURN RIGHT HEADING ONE NINER ZERO DESCEND AND     MAINTAIN TWO THOUSAND,3503.97,3507.24,L02F1-0546,
NWA182,F1-2,RIGHT HEADING ONE NINE ZERO DOWN TO TWO THOUSAND NORTHWEST ONE EIGHTY TWO,3507.65,3510.9,L02F1-0547,
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY DESCEND AND MAINTAIN THREE THOUSAND,3549.78,3552.1,L02F1-0548,
AAL94,F1-2,OUT OF SIX FOR THREE AMERICAN (QUOTE S,3552.67,3554.81,L02F1-0549,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO IS FIVE MILES FROM RIPIT TURN RIGHT HEADING TWO     FIVE ZERO INTERCEPT THE LOCALIZER AT OR ABOVE TWO THOUSAND CLEARED I L S D M     E RUNWAY TWO SEVEN APPROACH,3556.98,3564.35,L02F1-0550,
NWA182,F1-2,RIGHT HEADING TWO FIVE ZERO RIPIT AT OR ABOVE AH THOUSAND SEVEN HUNDRED     CLEARED I L S AH TWO SEVEN NORTHWEST ONE EIGHTY TWO,3564.66,3572.91,L02F1-0551,
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO I MISSED ON THAT READ BACK ON THE ALTITUDE IT     (QUOTE S,3573.16,3577.22,L02F1-0552,
NWA182,F1-2,LOCALIZER AT OR ABOVE TWO NORTHWEST NORTHWEST ONE EIGHTY TWO,3577.81,3581.2,L02F1-0553,
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT FLY HEADING ZERO ONE ZERO,3586.76,3588.74,L02F1-0555,
PAA538,F1-2,ZERO ONE ZERO FIVE EIGHTY THREE,3588.97,3591.15,L02F1-0556,PILOT MISSTATES CALL SIGN
