FROM,TO,TEXT,START_TIME,END_TIME,NUM,COMMENT,cleaned_text,normalized_text
DAL1776,F1-2,DELTA SEVENTEEN SEVENTY SIX ROGER,2667.61,2669.33,L02F1-0474,,delta seventeen seventy six roger,delta xxxx xxxx xxx roger
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY CONTINUE RIGHT HEADING TWO SIX ZERO     INTERCEPT TWO SEVEN LOCALIZER,2672.16,2675.76,L02F1-0475,,united one seventy four heavy continue right heading two six zero intercept two seven localizer,united xxx xxxx xxxx heavy continue right heading xxx xxx xxxx intercept xxx xxxx localizer
UAL174,F1-2,TWO SIXTY INTERCEPT THE LOCALIZER UNITED ONE SEVENTY FOUR HEAVY,2676.1,2678.26,L02F1-0476,,two sixty intercept the localizer united one seventy four heavy,xxx xxxx intercept the localizer united xxx xxxx xxxx heavy
F1-2,DAL110,DELTA ONE TEN HEAVY REDUCE SPEED TO ONE SEVEN ZERO,2678.31,2680.58,L02F1-0477,,delta one ten heavy reduce speed to one seven zero,delta xxx xxx heavy reduce speed to xxx xxxx xxxx
DAL110,F1-2,DELTA ONE TEN HEAVY SLOW TO ONE SEVENTY,2680.67,2682.92,L02F1-0478,,delta one ten heavy slow to one seventy,delta xxx xxx heavy slow to xxx xxxx
F1-2,DAL110,DELTA ONE TEN HEAVY TURN LEFT HEADING THREE ZERO ZERO INTERCEPT THE     LOCALIZER,2713.83,2716.82,L02F1-0479,,delta one ten heavy turn left heading three zero zero intercept the localizer,delta xxx xxx heavy turn left heading xxxx xxxx xxxx intercept the localizer
DAL110,F1-2,DELTA ONE TEN HEAVY THREE ZERO ZERO AND INTERCEPT,2716.92,2719.77,L02F1-0480,,delta one ten heavy three zero zero and intercept,delta xxx xxx heavy xxxx xxxx xxxx and intercept
F1-2,UAL174,AIR WEST SEVENTY FOUR HEAVY (QUOTE S,2734.08,2740.4,L02F1-0481,CONTROLLER MISSTATES AIRCRAFT ID,air west seventy four heavy quote s,air west xxxx xxxx heavy quote s
UAL174,F1-2,K ONE SEVENTY TO RIPIT LONER AT OR ABOVE THREE CLEARED THE APPROACH     UNITED ONE SEVENTY FOUR HEAVY,2740.91,2744.67,L02F1-0482,,k one seventy to ripit loner at or above three cleared the approach united one seventy four heavy,k xxx xxxx to ripit loner at or above xxxx cleared the approach united xxx xxxx xxxx heavy
F1-2,DAL1776,DELTA SEVENTEEN SEVENTY SIX CONTACT TOWER ONE ONE NINER POINT ONE,2751.1,2753.79,L02F1-0483,,delta seventeen seventy six contact tower one one niner point one,delta xxxx xxxx xxx contact tower xxx xxx niner point xxx
DAL1776,F1-2,DELTA SEVENTEEN SEVENTY SIX SO LONG,2754.16,2755.8,L02F1-0484,,delta seventeen seventy six so long,delta xxxx xxxx xxx so long
F1-2,DAL110,DELTA ONE TEN HEAVY DESCEND AND MAINTAIN FOUR THOUSAND,2759.27,2761.37,L02F1-0485,,delta one ten heavy descend and maintain four thousand,delta xxx xxx heavy descend and maintain xxxx xxxx
DAL110,F1-2,DELTA ONE TEN HEAVY DOWN TO FOUR,2761.5,2763.13,L02F1-0486,,delta one ten heavy down to four,delta xxx xxx heavy down to xxxx
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR REDUCE SPEED TO ONE FIVE ZERO,2799.39,2801.58,L02F1-0487,,jet link thirty eight fifty four reduce speed to one five zero,jet link xxxx xxxx xxxx xxxx reduce speed to xxx xxxx xxxx
BTA3854,F1-2,O K BACK TO ONE FIFTY THIRTY EIGHT FIFTY FOUR,2801.81,2803.77,L02F1-0488,,o k back to one fifty thirty eight fifty four,o k back to xxx xxxx xxxx xxxx xxxx xxxx
F1-2,DAL110,DELTA ONE TEN HEAVY FIVE AND A HALF FROM LONER CROSS LONER AT THREE OR     ABOVE CLEARED I L S D M E RUNWAY TWO SEVEN APPROACH,2811.06,2816.1,L02F1-0489,,delta one ten heavy five and a half from loner cross loner at three or above cleared i l s d m e runway two seven approach,delta xxx xxx heavy xxxx and a half from loner cross loner at xxxx or above cleared i l s d m e runway xxx xxxx approach
DAL110,F1-2,DELTA ONE TEN HEAVY ROGER CLEARED I L S D M E TWO SEVEN,2816.31,2819.82,L02F1-0490,,delta one ten heavy roger cleared i l s d m e two seven,delta xxx xxx heavy roger cleared i l s d m e xxx xxxx
F1-2,BTA3854,JET LINK THIRTY EIGHT FIFTY FOUR TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL     HOLD SHORT OF YOUR RUNWAY CONTACT THE TOWER NOW ONE ONE NINER POINT ONE SO     LONG,2820.57,2825.91,L02F1-0491,,jet link thirty eight fifty four traffic landing runway two two left will hold short of your runway contact the tower now one one niner point one so long,jet link xxxx xxxx xxxx xxxx traffic landing runway xxx xxx left will hold short of your runway contact the tower now xxx xxx niner point xxx so long
BTA3854,F1-2,NINETEEN ONE HAVE A GOOD DAY SIR,2825.92,2827.21,L02F1-0492,,nineteen one have a good day sir,xxxx xxx have a good day sir
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY TRAFFIC LANDING RUNWAY TWO TWO LEFT WILL BE     HOLDING SHORT OF YOUR RUNWAY,2872.04,2876.07,L02F1-0493,,united one seventy four heavy traffic landing runway two two left will be holding short of your runway,united xxx xxxx xxxx heavy traffic landing runway xxx xxx left will be holding short of your runway
UAL174,F1-2,UNITED ONE SEVENTY FOUR HEAVY,2876.37,2877.58,L02F1-0494,,united one seventy four heavy,united xxx xxxx xxxx heavy
F1-2,DAL110,DELTA ONE TEN HEAVY TRAFFIC LANDING RUNWAY LEFT WILL BE HOLDING SHORT OF     YOUR RUNWAY,2879.55,2882.84,L02F1-0495,,delta one ten heavy traffic landing runway left will be holding short of your runway,delta xxx xxx heavy traffic landing runway left will be holding short of your runway
DAL110,F1-2,ONE TEN HEAVY THANKS,2883.46,2884.76,L02F1-0496,,one ten heavy thanks,xxx xxx heavy thanks
F1-2,ALL,INFORMATION LIMA (QUOTE S,2887.61,2889.94,L02F1-0497,TRANSMISSION WAS TO ALL AIRCRAFT ON FREQUENCY,information lima quote s,information lima quote s
F1-2,UAL174,UNITED ONE SEVENTY FOUR HEAVY CONTACT TOWER ONE ONE NINER POINT ONE SO     LONG,2935.2,2938.21,L02F1-0498,,united one seventy four heavy contact tower one one niner point one so long,united xxx xxxx xxxx heavy contact tower xxx xxx niner point xxx so long
UAL174,F1-2,UNITED ONE SEVENTY FOUR HEAVY SO LONG,2938.26,2939.82,L02F1-0499,,united one seventy four heavy so long,united xxx xxxx xxxx heavy so long
F1-2,DAL110,DELTA ONE TEN HEAVY IS FOUR AND A QUARTER MILES BEHIND THE HEAVY THERE     (QUOTE S,2947.33,2951.94,L02F1-0500,,delta one ten heavy is four and a quarter miles behind the heavy there quote s,delta xxx xxx heavy is xxxx and a quarter miles behind the heavy there quote s
DAL110,F1-2,ONE TEN HEAVY O K AH AND WE (QUOTE RE,2952.35,2956.16,L02F1-0501,,one ten heavy o k ah and we quote re,xxx xxx heavy o k ah and we quote re
DAL110,F1-2,O K,2958.38,2958.97,L02F1-0503,,o k,o k
F1-2,DAL110,DELTA ONE TEN HEAVY CONTACT THE TOWER ONE ONE NINER POINT ONE SO LONG,2994.89,2997.71,L02F1-0504,,delta one ten heavy contact the tower one one niner point one so long,delta xxx xxx heavy contact the tower xxx xxx niner point xxx so long
DAL110,F1-2,ONE TEN,2997.77,2998.45,L02F1-0505,,one ten,xxx xxx
UAL92,F1-2,BOSTON APPROACH UNITED NINETY TWO HEAVY AT SIX THOUSAND,3037.46,3040.28,L02F1-0506,,boston approach united ninety two heavy at six thousand,boston approach united xxxx xxx heavy at xxx xxxx
F1-2,UAL92,UNITED NINETY TWO HEAVY BOSTON APPROACH ROGER FLY HEADING ONE ZERO ZERO,3040.95,3043.94,L02F1-0507,,united ninety two heavy boston approach roger fly heading one zero zero,united xxxx xxx heavy boston approach roger fly heading xxx xxxx xxxx
UAL92,F1-2,ONE HUNDRED DEGREES UNITED NINETY TWO HEAVY,3043.93,3045.97,L02F1-0508,,one hundred degrees united ninety two heavy,xxx xxxx degrees united xxxx xxx heavy
F1-2,UAL92,UNITED NINETY TWO HEAVY DESCEND AND MAINTAIN THREE THOUSAND,3092.74,3095.14,L02F1-0509,,united ninety two heavy descend and maintain three thousand,united xxxx xxx heavy descend and maintain xxxx xxxx
UAL92,F1-2,DOWN TO THREE THOUSAND UNITED NINETY TWO HEAVY,3095.15,3097.53,L02F1-0510,,down to three thousand united ninety two heavy,down to xxxx xxxx united xxxx xxx heavy
UAL92,F1-2,WHAT NUMBER YOU PLANNING NINETY TWO TODAY FOR THE APPROACH,3099.97,3102.48,L02F1-0511,,what number you planning ninety two today for the approach,what number you planning xxxx xxx today for the approach
F1-2,UAL92,AH UNITED NINETY TWO IS FOLLOWING TRAFFIC ON A TWO MILE FINAL,3102.77,3105.4,L02F1-0512,,ah united ninety two is following traffic on a two mile final,ah united xxxx xxx is following traffic on a xxx mile final
UAL92,F1-2,ALL RIGHT,3105.88,3106.52,L02F1-0513,,all right,all right
LHA422,F1-2,APPROACH LUFTHANSA FOUR TWO TWO HEAVY GOOD AFTERNOON OUT OF EIGHT     THOUSAND DESCENDING SIX THOUSAND HEADING TWO FOUR ZERO,3125.04,3131.35,L02F1-0514,,approach lufthansa four two two heavy good afternoon out of eight thousand descending six thousand heading two four zero,approach lufthansa xxxx xxx xxx heavy good afternoon out of xxxx xxxx descending xxx xxxx heading xxx xxxx xxxx
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY BOSTON APPROACH FLY HEADING TWO SIX ZERO     DESCEND AND MAINTAIN FOUR THOUSAND,3131.41,3135.52,L02F1-0515,,lufthansa four two two heavy boston approach fly heading two six zero descend and maintain four thousand,lufthansa xxxx xxx xxx heavy boston approach fly heading xxx xxx xxxx descend and maintain xxxx xxxx
LHA422,F1-2,DOWN FOUR THOUSAND HEADING TWO SIX ZERO LUFTHANSA FOUR TWO TWO,3136.18,3139.64,L02F1-0516,,down four thousand heading two six zero lufthansa four two two,down xxxx xxxx heading xxx xxx xxxx lufthansa xxxx xxx xxx
F1-2,UAL92,UNITED NINETY TWO HEAVY DESCEND AND MAINTAIN TWO THOUSAND TURN RIGHT     HEADING TWO ZERO ZERO,3150.94,3154.47,L02F1-0517,,united ninety two heavy descend and maintain two thousand turn right heading two zero zero,united xxxx xxx heavy descend and maintain xxx xxxx turn right heading xxx xxxx xxxx
UAL92,F1-2,RIGHT TO HEAD TWO HUNDRED DEGREES DOWN TO TWO THOUSAND UNITED AH NINETY     TWO HEAVY,3154.92,3159.26,L02F1-0518,,right to head two hundred degrees down to two thousand united ah ninety two heavy,right to head xxx xxxx degrees down to xxx xxxx united ah xxxx xxx heavy
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY INTERCEPT THE LOCALIZER,3159.6,3162.18,L02F1-0519,,lufthansa four two two heavy intercept the localizer,lufthansa xxxx xxx xxx heavy intercept the localizer
LHA422,F1-2,INTERCEPTING LOCALIZER TWO SEVEN LUFTHANSA FOUR TWO TWO,3162.69,3165.93,L02F1-0520,,intercepting localizer two seven lufthansa four two two,intercepting localizer xxx xxxx lufthansa xxxx xxx xxx
F1-2,UAL92,UNITED NINETY TWO HEAVY SPEED YOUR DISCRETION,3169.78,3171.69,L02F1-0521,,united ninety two heavy speed your discretion,united xxxx xxx heavy speed your discretion
UAL92,F1-2,NINETY TWO HEAVY ROGER,3172.42,3173.45,L02F1-0522,,ninety two heavy roger,xxxx xxx heavy roger
F1-2,UAL92,UNITED NINETY TWO HEAVY TURN RIGHT HEADING TWO SIX ZERO FOUR FROM RIPIT     INTERCEPT THE LOCALIZER AT OR ABOVE TWO THOUSAND CLEARED I L S D M E RUNWAY     TWO SEVEN APPROACH,3189.05,3195.94,L02F1-0523,,united ninety two heavy turn right heading two six zero four from ripit intercept the localizer at or above two thousand cleared i l s d m e runway two seven approach,united xxxx xxx heavy turn right heading xxx xxx xxxx xxxx from ripit intercept the localizer at or above xxx xxxx cleared i l s d m e runway xxx xxxx approach
UAL92,F1-2,HEADING TWO SIX ZERO WE (QUOTE RE,3196.54,3201.1,L02F1-0524,,heading two six zero we quote re,heading xxx xxx xxxx we quote re
F1-2,UAL92,UNITED NINETY TWO HEAVY TRAFFIC WILL BE LANDING RUNWAY TWO TWO LEFT     HOLDING SHORT OF YOUR RUNWAY,3255.37,3259.23,L02F1-0525,,united ninety two heavy traffic will be landing runway two two left holding short of your runway,united xxxx xxx heavy traffic will be landing runway xxx xxx left holding short of your runway
UAL92,F1-2,NINETY TWO HEAVY,3259.32,3260.63,L02F1-0526,,ninety two heavy,xxxx xxx heavy
F1-2,UAL92,UNITED NINETY TWO HEAVY CONTACT THE TOWER ONE ONE NINER POINT ONE SO LONG,3261.05,3263.91,L02F1-0527,,united ninety two heavy contact the tower one one niner point one so long,united xxxx xxx heavy contact the tower xxx xxx niner point xxx so long
UAL92,F1-2,NINETEEN ONE WE (QUOTE LL,3263.86,3264.99,L02F1-0528,,nineteen one we quote ll,xxxx xxx we quote ll
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY SIX MILES FROM LONER CROSS LONER AT OR ABOVE     THREE THOUSAND CLEARED I L S D M E RUNWAY TWO SEVEN APPROACH,3288.18,3294.05,L02F1-0529,,lufthansa four two two heavy six miles from loner cross loner at or above three thousand cleared i l s d m e runway two seven approach,lufthansa xxxx xxx xxx heavy xxx miles from loner cross loner at or above xxxx xxxx cleared i l s d m e runway xxx xxxx approach
LHA422,F1-2,UNDERSTOOD CLEARED I L S D M E APPROACH TWO SEVEN LUFTHANSA FOUR TWO TWO,3294.95,3298.83,L02F1-0530,,understood cleared i l s d m e approach two seven lufthansa four two two,understood cleared i l s d m e approach xxx xxxx lufthansa xxxx xxx xxx
F1-2,LHA422,LUFTHANSA FOUR TWO TWO HEAVY TRAFFIC WILL BE LANDING RUNWAY TWO TWO LEFT     HOLDING SHORT OF YOUR RUNWAY,3403.16,3407.61,L02F1-0531,,lufthansa four two two heavy traffic will be landing runway two two left holding short of your runway,lufthansa xxxx xxx xxx heavy traffic will be landing runway xxx xxx left holding short of your runway
LHA422,F1-2,UNDERSTOOD LUFTHANSA FOUR TWO TWO,3408.69,3410.41,L02F1-0532,,understood lufthansa four two two,understood lufthansa xxxx xxx xxx
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3412.97,3414.29,L02F1-0533,,northwest one eighty two boston,northwest xxx xxxx xxx boston
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3423.56,3424.91,L02F1-0534,,northwest one eighty two boston,northwest xxx xxxx xxx boston
LHA422,F1-2,ONE ONE NINE ONE (UNINTELLIGIBLE,3437.83,3440.47,L02F1-0536,SOUNDS LIKE A GERMAN PHRASE,one one nine one unintelligible,xxx xxx xxxx xxx unintelligible
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO BOSTON,3448.27,3449.74,L02F1-0537,,northwest one eighty two boston,northwest xxx xxxx xxx boston
NWA182,F1-2,BOSTON APPROACH NORTHWEST ONE EIGHTY TWO SIX THOUSAND,3462.86,3465.97,L02F1-0538,,boston approach northwest one eighty two six thousand,boston approach northwest xxx xxxx xxx xxx xxxx
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO TURN RIGHT HEADING ONE ONE ZERO DESCEND AND     MAINTAIN THREE THOUSAND,3465.93,3469.06,L02F1-0539,,northwest one eighty two turn right heading one one zero descend and maintain three thousand,northwest xxx xxxx xxx turn right heading xxx xxx xxxx descend and maintain xxxx xxxx
NWA182,F1-2,RIGHT HEADING ONE ONE ZERO OUT OF SIX FOR THREE THOUSAND NORTHWEST ONE     EIGHTY TWO,3469.25,3472.78,L02F1-0540,,right heading one one zero out of six for three thousand northwest one eighty two,right heading xxx xxx xxxx out of xxx for xxxx xxxx northwest xxx xxxx xxx
AAL94,F1-2,BOSTON APPROACH AMERICAN (QUOTE S,3484.62,3489.43,L02F1-0541,,boston approach american quote s,boston approach american quote s
F1-2,AAL94,SAY AGAIN PLEASE,3491.95,3492.87,L02F1-0542,,say again please,say again please
AAL94,F1-2,IT (QUOTE S,3495.24,3498.05,L02F1-0543,,it quote s,it quote s
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY BOSTON APPROACH FLY HEADING ONE ZERO ZERO,3498.2,3500.62,L02F1-0544,,american ninety four heavy boston approach fly heading one zero zero,american xxxx xxxx heavy boston approach fly heading xxx xxxx xxxx
AAL94,F1-2,HEADING ONE ZERO ZERO AMERICAN (QUOTE S,3501.16,3503.85,L02F1-0545,,heading one zero zero american quote s,heading xxx xxxx xxxx american quote s
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO TURN RIGHT HEADING ONE NINER ZERO DESCEND AND     MAINTAIN TWO THOUSAND,3503.97,3507.24,L02F1-0546,,northwest one eighty two turn right heading one niner zero descend and maintain two thousand,northwest xxx xxxx xxx turn right heading xxx niner xxxx descend and maintain xxx xxxx
NWA182,F1-2,RIGHT HEADING ONE NINE ZERO DOWN TO TWO THOUSAND NORTHWEST ONE EIGHTY TWO,3507.65,3510.9,L02F1-0547,,right heading one nine zero down to two thousand northwest one eighty two,right heading xxx xxxx xxxx down to xxx xxxx northwest xxx xxxx xxx
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY DESCEND AND MAINTAIN THREE THOUSAND,3549.78,3552.1,L02F1-0548,,american ninety four heavy descend and maintain three thousand,american xxxx xxxx heavy descend and maintain xxxx xxxx
AAL94,F1-2,OUT OF SIX FOR THREE AMERICAN (QUOTE S,3552.67,3554.81,L02F1-0549,,out of six for three american quote s,out of xxx for xxxx american quote s
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO IS FIVE MILES FROM RIPIT TURN RIGHT HEADING TWO     FIVE ZERO INTERCEPT THE LOCALIZER AT OR ABOVE TWO THOUSAND CLEARED I L S D M     E RUNWAY TWO SEVEN APPROACH,3556.98,3564.35,L02F1-0550,,northwest one eighty two is five miles from ripit turn right heading two five zero intercept the localizer at or above two thousand cleared i l s d m e runway two seven approach,northwest xxx xxxx xxx is xxxx miles from ripit turn right heading xxx xxxx xxxx intercept the localizer at or above xxx xxxx cleared i l s d m e runway xxx xxxx approach
NWA182,F1-2,RIGHT HEADING TWO FIVE ZERO RIPIT AT OR ABOVE AH THOUSAND SEVEN HUNDRED     CLEARED I L S AH TWO SEVEN NORTHWEST ONE EIGHTY TWO,3564.66,3572.91,L02F1-0551,,right heading two five zero ripit at or above ah thousand seven hundred cleared i l s ah two seven northwest one eighty two,right heading xxx xxxx xxxx ripit at or above ah xxxx xxxx xxxx cleared i l s ah xxx xxxx northwest xxx xxxx xxx
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO I MISSED ON THAT READ BACK ON THE ALTITUDE IT     (QUOTE S,3573.16,3577.22,L02F1-0552,,northwest one eighty two i missed on that read back on the altitude it quote s,northwest xxx xxxx xxx i missed on that read back on the altitude it quote s
NWA182,F1-2,LOCALIZER AT OR ABOVE TWO NORTHWEST NORTHWEST ONE EIGHTY TWO,3577.81,3581.2,L02F1-0553,,localizer at or above two northwest northwest one eighty two,localizer at or above xxx northwest northwest xxx xxxx xxx
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT FLY HEADING ZERO ONE ZERO,3586.76,3588.74,L02F1-0555,,clipper five thirty eight fly heading zero one zero,clipper xxxx xxxx xxxx fly heading xxxx xxx xxxx
PAA538,F1-2,ZERO ONE ZERO FIVE EIGHTY THREE,3588.97,3591.15,L02F1-0556,PILOT MISSTATES CALL SIGN,zero one zero five eighty three,xxxx xxx xxxx xxxx xxxx xxxx
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO IT LOOKS LIKE YOU (QUOTE RE,3599.7,3603.84,L02F1-0557,,northwest one eighty two it looks like you quote re,northwest xxx xxxx xxx it looks like you quote re
NWA182,F1-2,CORRECTING NORTHWEST ONE EIGHTY TWO,3605.17,3606.68,L02F1-0558,,correcting northwest one eighty two,correcting northwest xxx xxxx xxx
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY TURN RIGHT HEADING TWO TWO ZERO,3606.66,3608.7,L02F1-0559,,american ninety four heavy turn right heading two two zero,american xxxx xxxx heavy turn right heading xxx xxx xxxx
AAL94,F1-2,RIGHT TURN HEADING TWO TWO ZERO AMERICAN (QUOTE S,3609.42,3612.01,L02F1-0560,,right turn heading two two zero american quote s,right turn heading xxx xxx xxxx american quote s
COA620,F1-2,CONTINENTAL SIX TWENTY IS AT SIX,3614.83,3616.72,L02F1-0561,,continental six twenty is at six,continental xxx xxxx is at xxx
F1-2,COA620,CONTINENTAL SIX TWENTY BOSTON APPROACH FLY HEADING ONE ZERO ZERO,3617.02,3619.58,L02F1-0562,,continental six twenty boston approach fly heading one zero zero,continental xxx xxxx boston approach fly heading xxx xxxx xxxx
COA620,F1-2,SIX TWENTY,3620.22,3621.3,L02F1-0563,,six twenty,xxx xxxx
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT REDUCE SPEED TO TWO ONE ZERO THEN DESCEND AND     MAINTAIN THREE THOUSAND,3632.26,3635.64,L02F1-0564,,clipper five thirty eight reduce speed to two one zero then descend and maintain three thousand,clipper xxxx xxxx xxxx reduce speed to xxx xxx xxxx then descend and maintain xxxx xxxx
PAA538,F1-2,TWO TEN THEN DOWN TO THREE THOUSAND FIVE THIRTY EIGHT,3635.82,3638.76,L02F1-0565,,two ten then down to three thousand five thirty eight,xxx xxx then down to xxxx xxxx xxxx xxxx xxxx
F1-2,NWA182,NORTHWEST ONE EIGHTY TWO CONTACT THE TOWER ONE ONE NINER POINT ONE,3638.87,3641.45,L02F1-0566,,northwest one eighty two contact the tower one one niner point one,northwest xxx xxxx xxx contact the tower xxx xxx niner point xxx
NWA182,F1-2,NINETEEN ONE NORTHWEST ONE EIGHTY TWO,3641.59,3643.48,L02F1-0567,,nineteen one northwest one eighty two,xxxx xxx northwest xxx xxxx xxx
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY TURN RIGHT HEADING TWO FIVE ZERO INTERCEPT TWO     SEVEN LOCALIZER,3643.83,3647.2,L02F1-0568,,american ninety four heavy turn right heading two five zero intercept two seven localizer,american xxxx xxxx heavy turn right heading xxx xxxx xxxx intercept xxx xxxx localizer
AAL94,F1-2,RIGHT TWO FIVE ZERO INTERCEPT THE LOCALIZER AMERICAN (QUOTE S,3647.64,3650.98,L02F1-0569,,right two five zero intercept the localizer american quote s,right xxx xxxx xxxx intercept the localizer american quote s
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT CAUTION WAKE TURBULENCE SEQUENCED BEHIND A     HEAVY,3651.02,3653.8,L02F1-0570,,clipper five thirty eight caution wake turbulence sequenced behind a heavy,clipper xxxx xxxx xxxx caution wake turbulence sequenced behind a heavy
PAA538,F1-2,FIVE THIRTY EIGHT WE (QUOTE LL,3654.65,3656.23,L02F1-0571,,five thirty eight we quote ll,xxxx xxxx xxxx we quote ll
F1-2,COA620,CONTINENTAL SIX TWENTY DESCEND AND MAINTAIN FOUR THOUSAND,3657.55,3659.78,L02F1-0572,,continental six twenty descend and maintain four thousand,continental xxx xxxx descend and maintain xxxx xxxx
COA620,F1-2,DOWN TO FOUR SIX TWENTY,3659.77,3661.18,L02F1-0573,,down to four six twenty,down to xxxx xxx xxxx
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT TURN LEFT HEADING THREE FOUR ZERO,3675.44,3677.75,L02F1-0574,,clipper five thirty eight turn left heading three four zero,clipper xxxx xxxx xxxx turn left heading xxxx xxxx xxxx
PAA538,F1-2,LEFT THREE FOUR ZERO FIVE THIRTY EIGHT,3677.81,3680.04,L02F1-0575,,left three four zero five thirty eight,left xxxx xxxx xxxx xxxx xxxx xxxx
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY SIX FROM RIPIT INTERCEPT THE LOCALIZER THREE     THOUSAND OR ABOVE CLEARED I L S D M E TWO SEVEN APPROACH,3685.22,3690.62,L02F1-0576,,american ninety four heavy six from ripit intercept the localizer three thousand or above cleared i l s d m e two seven approach,american xxxx xxxx heavy xxx from ripit intercept the localizer xxxx xxxx or above cleared i l s d m e xxx xxxx approach
AAL94,F1-2,INTERCEPT THE LOCALIZER THREE OR ABOVE WE (QUOTE RE,3691.26,3695.49,L02F1-0577,,intercept the localizer three or above we quote re,intercept the localizer xxxx or above we quote re
F1-2,COA620,CONTINENTAL SIX TWENTY FLY HEADING ZERO NINER ZERO,3697.49,3699.69,L02F1-0578,,continental six twenty fly heading zero niner zero,continental xxx xxxx fly heading xxxx niner xxxx
COA620,F1-2,SIX TWENTY,3700.65,3701.64,L02F1-0579,,six twenty,xxx xxxx
COA620,F1-2,WE GOT AMERICAN IN SIGHT IF IT (QUOTE LL,3702.2,3704.06,L02F1-0580,,we got american in sight if it quote ll,we got american in sight if it quote ll
F1-2,COA620,AH YOU BE FOLLOWING TRAFFIC FOLLOWING HIM,3704.64,3706.37,L02F1-0581,,ah you be following traffic following him,ah you be following traffic following him
F1-2,AAL94,AMERICAN NINETY FOUR HEAVY SPEED ONE SEVEN ZERO TO RIPIT,3711.7,3714.07,L02F1-0582,,american ninety four heavy speed one seven zero to ripit,american xxxx xxxx heavy speed xxx xxxx xxxx to ripit
AAL94,F1-2,O K GOT IT NINETY FOUR HEAVY,3714.63,3716.11,L02F1-0583,,o k got it ninety four heavy,o k got it xxxx xxxx heavy
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT REDUCE SPEED TO ONE SEVEN ZERO,3721.68,3723.92,L02F1-0584,,clipper five thirty eight reduce speed to one seven zero,clipper xxxx xxxx xxxx reduce speed to xxx xxxx xxxx
PAA538,F1-2,FIVE THIRTY EIGHT ONE SEVENTY,3724.03,3725.58,L02F1-0585,,five thirty eight one seventy,xxxx xxxx xxxx xxx xxxx
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT TURN LEFT HEADING TWO NINER ZERO INTERCEPT THE     LOCALIZER,3733.81,3736.75,L02F1-0586,,clipper five thirty eight turn left heading two niner zero intercept the localizer,clipper xxxx xxxx xxxx turn left heading xxx niner xxxx intercept the localizer
PAA538,F1-2,LEFT TWO NINER ZERO AND INTERCEPT FIVE THIRTY EIGHT,3736.92,3739.46,L02F1-0587,,left two niner zero and intercept five thirty eight,left xxx niner xxxx and intercept xxxx xxxx xxxx
F1-2,NWA1876,NORTHWEST EIGHTEEN SEVENTY SIX BOSTON,3739.47,3741.25,L02F1-0588,,northwest eighteen seventy six boston,northwest xxxx xxxx xxx boston
F1-2,COA620,CONTINENTAL SIX TWENTY TURN RIGHT HEADING ONE EIGHT ZERO,3752.12,3754.13,L02F1-0589,,continental six twenty turn right heading one eight zero,continental xxx xxxx turn right heading xxx xxxx xxxx
COA620,F1-2,SIX TWENTY,3754.25,3755.04,L02F1-0590,,six twenty,xxx xxxx
F1-2,PAA538,CLIPPER FIVE THIRTY EIGHT THREE FROM LONER CROSS LONER THREE OR ABOVE     CLEARED I L S D M E TWO SEVEN APPROACH SPEED ONE SEVEN ZERO TO RIPIT,3757.43,3762.69,L02F1-0591,,clipper five thirty eight three from loner cross loner three or above cleared i l s d m e two seven approach speed one seven zero to ripit,clipper xxxx xxxx xxxx xxxx from loner cross loner xxxx or above cleared i l s d m e xxx xxxx approach speed xxx xxxx xxxx to ripit
PAA538,F1-2,ONE SEVENTY TO RIPIT AH THREE THOUSAND AT AH LONER AND CLEARED FOR THE     APPROACH FIVE THIRTY EIGHT,3763.15,3769.77,L02F1-0592,,one seventy to ripit ah three thousand at ah loner and cleared for the approach five thirty eight,xxx xxxx to ripit ah xxxx xxxx at ah loner and cleared for the approach xxxx xxxx xxxx
